Date,ConnType,Lat,Lon,Debit descendant,Debit montant,Latence,Nom de serveur,InternalIp,ExternalIp
"2015-09-22 15:17","Hspap","14.00000","-14.00000",5.91,0.65,50,"Dakar","10.160.38.68","41.82.0.68"
"2015-09-22 15:16","Hspap","14.00000","-14.00000",5.75,0.84,49,"Dakar","10.160.38.68","41.82.0.68"
"2015-09-19 16:07","Hspap","14.00000","-14.00000",6.77,1.70,78,"Dakar","10.141.80.31","41.82.0.31"
"2015-09-19 01:00","Hspap","14.00000","-14.00000",8.27,1.01,43,"Dakar","192.168.43.1, 10.160.66.35","41.82.0.35"
"2015-09-12 09:58","Hspa","14.00000","-14.00000",3.05,1.79,50,"Dakar","10.160.156.57","41.82.0.57"
"2015-09-12 09:58","Hspa","14.00000","-14.00000",4.05,1.99,119,"Dakar","10.160.156.57","41.82.0.57"
"2015-09-12 09:56","Hspa","14.00000","-14.00000",3.55,1.94,43,"Dakar","10.160.156.57","41.82.0.57"
"2015-09-08 20:16","Hspa","14.00000","-14.00000",2.23,1.79,89,"Dakar","10.160.164.53","41.82.0.53"
"2015-09-07 20:49","Hspa","14.00000","-14.00000",2.90,0.48,140,"Dakar","10.141.80.206","41.82.0.206"
