Date,ConnType,Lat,Lon,Debit descendant,Debit montant,Latence,Nom de serveur,InternalIp,ExternalIp
"2015-09-30 15:30","Hspap","14.70441","-17.47546",19.43,1.75,126,"Nouakchott","10.160.143.184","41.82.1.184"
"2015-09-30 14:06","Hspap","14.70441","-17.47546",4.71,1.29,71,"Dakar","10.148.60.157","41.82.0.157"
"2015-09-30 08:46","Hspap","14.72456","-17.45289",16.12,1.78,111,"Nouakchott","10.148.52.173","41.82.0.173"
"2015-09-29 18:09","Hspap","14.70470","-17.47556",1.32,1.70,150,"Nouakchott","10.160.143.199","41.82.1.199"
"2015-09-29 15:49","Hspap","14.70477","-17.47561",7.57,1.69,53,"Dakar","10.160.197.246","41.82.1.246"
"2015-09-29 14:15","Hspap","14.72675","-17.45256",3,19,0.76,64,"Dakar","10.148.90.85","41.82.0.85"
"2015-09-28 14:05","Hspa","14.71998","-17.46052",6.80,1.22,120,"Dakar","10.148.55.188","41.82.1.188"
"2015-09-28 11:44","Hspap","14.72376","-17.45853",8.45,1.93,39,"Dakar","10.160.13.82","41.82.1.82"
"2015-09-28 09:42","Hspap","14.72376","-17.45853",3.93,1.79,154,"Dakar","10.148.26.224","41.82.0.224"
"2015-09-27 14:20","Hspap","14.71995","-17.46020",3.81,0.83,54,"Dakar","10.141.121.53","41.82.1.53"
"2015-09-27 09:47","Hspap","14.71992","-17.46030",5.04,1.30,54,"Dakar","10.160.116.204","41.82.0.204"
"2015-09-26 23:41","Hspap","14.72009","-17.46038",2.96,0.55,135,"Dakar","10.148.45.216","41.82.1.216"
"2015-09-26 21:07","Hspap","14.72062","-17.45494",1.50,1.53,57,"Dakar","10.141.1.185","41.82.1.185"
"2015-09-26 07:57","Hspap","14.72116","-17.45949",3.55,0.96,126,"Dakar","10.141.34.53","41.82.0.53"
"2015-09-26 00:45","Hspap","14.71997","-17.46019",6.42,1.33,155,"Nouakchott","10.160.144.8","41.82.0.8"
"2015-09-25 09:34","Hspap","14.72013","-17.46031",6.51,1,57,55,"Dakar","10.160.167.52","41.82.1.52"
"2015-09-25 08:29","Hspap","14.73074","-17.44422",12.72,1.91,38,"Dakar","10.192.7.213","41.82.3.213"
"2015-09-24 10:30","Hspa","14.70883","-17.48127",2.72,1.78,130,"Dakar","10.160.85.254","41.82.1.254"
"2015-09-23 14:30","Hspap","14.70492","-17.47559",7.50,1.77,69,"Dakar","10.160.179.152","41.82.1.152"
"2015-09-23 13:06","Hspap","14.70492","-17.47559",7.46,1.62,82,"Dakar","10.141.87.157","41.82.1.157"
"2015-09-23 10:37","Hspap","14.69959","-17.46391",8.04,1.79,169,"Dakar","10.141.108.192","41.82.0.192"
"2015-09-23 08:56","Hspap","14.69959","-17.46391",6.41,1.77,49,"Dakar","10.148.93.206","41.82.1.206"
"2015-09-22 15:20","Hspap","14.70601","-17.47546",6.08,1.33,48,"Dakar","10.141.8.191","41.82.0.191"
"2015-09-22 13:50","Hspap","14.72116","-17.45947",6.31,1.08,50,"Dakar","10.141.14.125","41.82.0.125"
"2015-09-22 11:07","Hspa","14.72586","-17.44892",7.92,1.79,45,"Dakar","10.160.91.206","41.82.1.206"
"2015-09-22 09:34","Hspap","14.72586","-17.44892",11.09,0.70,40,"Dakar","10.148.99.24","41.82.1.24"
"2015-09-22 08:07","Hspap","14.72992","-17.44415",7.18,1.78,64,"Dakar","10.192.87.123","41.82.3.123"
"2015-09-21 16:26","Hspa","14.70439","-17.47528",7.30,1.71,39,"Dakar","10.160.174.169","41.82.0.169"
"2015-09-21 13:34","Hspap","14.70513","-17.47559",8.87,1.22,44,"Dakar","10.160.47.185","41.82.1.185"
"2015-09-21 12:28","Hspap","14.70513","-17.47559",9.35,1.92,41,"Dakar","10.141.25.89","41.82.1.89"
"2015-09-21 10:53","Hspap","14.70513","-17.47559",7.88,1.80,76,"Dakar","10.148.126.212","41.82.0.212"
"2015-09-21 09:35","Hspap","14.70513","-17.47559",8.19,1.78,45,"Dakar","10.160.70.43","41.82.0.43"
"2015-09-21 07:02","Hspap","14.73072","-17.44421",7.76,1.79,66,"Dakar","10.192.201.24","41.82.3.24"
"2015-09-20 23:23","Hspap","14.73072","-17.44416",4.26,1.62,123,"Dakar","10.192.35.244","41.82.3.244"
"2015-09-20 21:16","Hspap","14.72116","-17.45947",3.89,0.73,79,"Dakar","10.160.184.182","41.82.0.182"
"2015-09-20 20:00","Hspap","14.67080","-17.43810",5.27,1.22,71,"Dakar","10.148.75.51","41.82.1.51"
"2015-09-20 12:34","Hspap","14.73072","-17.44416",1.41,0.09,205,"Dakar","10.192.105.141","41.82.3.141"
"2015-09-20 07:39","Hspap","14.73069","-17.44416",6.08,1.79,58,"Dakar","10.192.191.74","41.82.3.74"
"2015-09-19 20:54","Hspap","14.72274","-17.45392",2.00,1.57,159,"Nouakchott","10.160.236.97","41.82.0.97"
"2015-09-19 20:01","Hspap","14.73072","-17.44416",8.74,1.88,43,"Dakar","10.192.74.88","41.82.2.88"
"2015-09-19 17:42","Hspap","14.73072","-17.44416",7.21,1.70,65,"Dakar","10.192.91.190","41.82.3.190"
"2015-09-19 14:09","Hspap","14.72474","-17.45292",3.47,1.49,60,"Dakar","10.193.121.202","41.82.3.202"
