Date,ConnType,Lat,Lon,Debit descendant,Debit montant,Latence,Nom de serveur,InternalIp,ExternalIp
2015-09-27 18:23,Cellule,14.720515,-17.452352,2.39,0.60,83,Bissau,10.244.239.211,154.65.34.23
2015-09-11 08:35,Cellule,14.720272,-17.452254,4.20,1.10,71,Dakar,10.244.123.14,154.65.32.72
2015-09-10 21:06,Cellule,14.721629,-17.450362,1.58,0.47,303,Dakar,10.244.20.101,154.65.32.41
2015-09-08 14:40,Cellule,14.705415,-17.472743,2.28,0.39,104,Dakar,10.102.40.206,154.65.32.29
2015-09-08 08:44,Cellule,14.720253,-17.452236,3.25,1.12,181,Bissau,10.244.135.51,154.65.34.203
2015-09-07 18:18,Cellule,14.705102,-17.473868,3.70,0.62,65,Dakar,10.246.114.34,154.65.34.202
